variables
resp_gender
GENDER_NonBinary
resp_age
CurrentDay
CurrentMonth
CurrentYear
CultureInfo
Sniffer_device_type_initial
Sniffer_device_type_final
QMktSize_1_1
QMktSize_2_1
QMktSize_3_1
QMktSize_4_1
QMktSize_5_1
QMktSize_6_1
QMktSize_7_1
QMktSize_8_1
QMktSize_9_1
QMktSize_10_1
QMktSize_11_1
QMktSize_12_1
QMktSize_13_1
QMktSize_14_1
QMktSize_17_1
QMktSize_18_1
QMktSize_21_1
QMktSize_22_1
QMktSize_23_1
QMktSize_56_1
QMktSize_20_1
QMktSize_Text
QMktSize_refused_to_answer
QMktSizeVersion
QUOTAGERANGE
EMP01
HHCMP10
UK02INC
EU01HINC
UK01OCCHI
UKSTDREGION
UKREGION1
UK01OCCR
UKSG_version
UK01SG
Qcountry
PrivacyPolicy_insert
MAIN_INTRO_SCREEN
Q3
Q15
HHCOMPCONFIRM_1
HHCOMPCONFIRM_2
HHCOMPCONFIRM_3
HHCOMPREMOVE_1
HHCOMPREMOVE_2
HHCOMPREMOVE_3
HHCOMPREMOVE_4
HHCOMPREMOVE_5
HHCOMPREMOVE_6
HHCOMPREMOVE_7
HHCOMPREMOVE_8
HHCOMPREMOVE_9
HHCOMPREMOVE_10
HHCOMPREMOVE_11
HHCOMPREMOVE_150
HHCOMPREMOVE_151
HHCOMPREMOVE_152
HHCOMPREMOVE_153
HHCOMPREMOVE_154
HHCOMPREMOVE_155
HHCOMPREMOVE_156
HHCOMPREMOVE_157
HHCOMPREMOVE_158
HHCOMPREMOVE_159
HHCOMPREMOVE_160
HHCOMPREMOVE_161
HHCOMPREMOVE_162
HHCOMPREMOVE_163
HHCOMPREMOVE_164
HHCOMPREMOVE_165
HHCOMPREMOVE_166
HHCOMPREMOVE_167
HHCOMPREMOVE_168
HHCOMPREMOVE_169
HHCOMPADD_150_scale
HHCOMPADD_151_scale
HHCOMPADD_152_scale
HHCOMPADD_153_scale
HHCOMPADD_154_scale
